"Kiesgerechtigden, blanco/ongeldige stemmen, uitgebrachte geldige stemmen per stemlocatie bij de verkiezingen voor de Tweede Kamer, maart 2021",,gebied,gbd_wijk_code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gebiednummer,Lijstnummer,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33,36,37
,Aanduiding,stadsdeel,wijk,Postcode,opgeroepenen,geldige stembiljetten,blanco stembiljetten,ongeldige stembiljetten,aangetroffen stembiljetten,VVD,PVV (Partij voor de Vrijheid),CDA,D66,GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,BIJ1,JA21,CODE ORANJE,Volt,NIDA,Piratenpartij,LP (Libertaire Partij),JONG,Splinter,BBB,NLBeter,Lijst Henk Krol,OPRECHT,JEZUS LEEFT,Trots op Nederland (TROTS),U-Buntu Connected Front,Partij van de Eenheid,Vrij en Sociaal Nederland,De Groenen,Partij voor de Republiek
73,Stembureau WeWork,Centrum,A07,1017 XD,904,670,3,4,677,128,19,17,192,76,18,31,3,40,1,1,9,23,25,11,1,59,3,5,2,0,4,0,0,2,0,0,0,0,0,0,0,0
74,Stembureau Oosterkerk,Centrum,A09,1018LS,669,889,2,4,895,52,29,14,221,164,44,75,4,94,5,0,27,13,63,9,0,61,2,6,0,0,2,0,1,0,0,1,0,0,1,0,0,1
75,Stembureau Westerkerk,Centrum,A02,1016 GW,967,1497,0,7,1504,201,34,39,477,176,45,109,4,131,2,3,0,28,67,20,1,143,2,2,1,1,7,2,0,0,0,0,1,0,0,0,0,1
76,Stembureau Room Mate Aitana,Centrum,A05,1013 MM,1076,350,0,1,351,48,9,3,120,22,8,33,2,21,2,1,10,6,21,6,1,28,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
77,Stembureau De Rode Hoed,Centrum,A02,1015 CV,758,495,1,0,496,94,9,14,172,37,11,30,2,45,0,1,1,13,13,2,1,44,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0
78,Stembureau Dominicuskerk,Centrum,A01,1012TS,987,409,1,0,410,46,13,10,112,45,15,40,1,33,1,1,0,9,29,6,0,39,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0
79,Stembureau Dominicuskerk,Centrum,A01,1012TS,1007,384,2,3,389,60,6,9,100,58,13,26,1,42,3,2,0,11,16,1,1,33,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80,Stembureau De Noorderspeeltuin,Centrum,A06,1015 LH,968,927,4,1,932,97,69,20,212,97,56,91,3,97,6,0,9,47,35,18,2,59,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0
81,Stembureau OBA Javaplein,Oost,M31,1094 HW,1093,983,3,8,994,57,31,12,228,172,51,72,11,72,1,0,81,28,69,6,3,67,7,4,0,2,6,0,0,0,0,0,0,2,1,0,0,0
82,Stembureau Kindervreugd,Oost,M32,1095 JS,1219,874,4,10,888,65,48,11,140,117,54,68,22,57,5,1,133,29,47,9,0,41,14,5,0,1,2,1,1,1,0,0,0,2,0,0,0,0
83,Stembureau Leonardo Royal Hotel Amsterdam,Oost,M58,1096 BK,1323,546,0,0,546,93,14,9,179,59,10,28,6,37,3,0,3,7,18,12,1,54,0,7,0,1,3,1,0,0,1,0,0,0,0,0,0,0
84,Stembureau Flevoparkschool,Oost,M32,1095 VX,1118,965,3,8,976,84,25,8,182,141,47,53,8,65,3,1,170,10,68,4,0,61,19,6,1,1,3,0,0,0,0,0,3,0,2,0,0,0
87,Stembureau Verenigingsgebouw Batavia,Oost,M32,1095 KS,1121,1023,5,10,1038,56,22,7,143,150,46,60,10,72,1,2,242,18,77,5,0,57,42,6,1,1,2,0,1,0,0,0,0,1,0,0,0,1
88,Stembureau Havo De Hof,Oost,M29,1093 BS,1066,606,1,4,611,47,22,7,125,76,28,37,9,44,7,0,70,16,51,6,0,40,12,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0
91,Stembureau Loods 6,Oost,M33,1019 LB,1163,928,0,0,928,97,19,23,235,173,46,82,8,79,3,0,9,11,48,5,0,73,6,4,1,1,2,1,1,0,0,0,0,1,0,0,0,0
93,Stembureau Biko,Oost,M30,1092 GN,1133,1065,1,6,1072,86,22,12,295,138,34,72,7,60,4,0,152,7,59,11,2,72,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Stembureau De Nieuwe KHL,Oost,M33,1019 BN,1289,1223,5,1,1229,146,33,25,317,170,66,77,8,97,1,1,26,30,100,18,1,87,3,6,1,1,2,1,1,0,1,0,0,3,0,0,0,1
95,Stembureau Jungle Amsterdam,Oost,M29,1093 VS,1125,758,2,2,762,36,19,9,140,97,37,54,12,86,0,0,78,19,87,2,2,57,11,5,1,1,2,0,0,0,0,1,0,1,0,1,0,0
97,Stembureau Oase Zorg,Oost,M29,1093 LA,1095,238,2,2,242,11,1,0,41,37,11,21,3,16,1,0,39,3,32,0,0,13,4,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1
98,Stembureau BAC,Oost,M33,1019 WL,1294,853,3,2,858,86,8,21,291,115,17,68,8,70,1,0,15,19,36,6,1,79,0,5,2,1,3,0,1,0,0,0,0,0,0,0,0,0
100,Stembureau De Eester,Oost,M33,1019 JR,1110,969,1,6,976,71,21,8,202,159,55,82,10,83,2,1,76,15,97,3,2,40,22,7,2,3,3,0,1,0,0,1,0,2,1,0,0,0
101,Stembureau Stichting Meevaart,Oost,M31,1094 JN,1086,826,2,2,830,65,17,13,193,105,27,61,4,68,1,1,86,12,78,5,2,68,13,2,0,0,3,0,0,0,0,0,0,1,0,0,1,0
102,Stembureau Gymzaal 8e montessorischool Zeeburg,Oost,M33,1019 KZ,1207,662,0,4,666,44,6,9,166,129,31,68,11,46,0,0,25,12,59,2,1,37,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
